timestamp;ax;ay;az;gx;gy;gz
250854;-0.5747;-0.1735;11.495;53.511;-53.053;-40.305
250899;-0.5306;-0.6296;11.759;40.382;-75.725;32.137
250944;-0.4586;-0.7003;12.538;114.809;-100.458;42.519
250989;-10.701;-0.2718;0.3327;0.9313;17.863;-44.656
251034;-0.2712;0.3272;12.045;16.412;65.573;-124.580
251079;-0.5433;0.0845;10.621;0.0305;77.710;-84.046
251124;-0.6000;-0.5437;10.429;-60.305;139.389;-69.466
251169;-0.8008;-0.8113;0.9921;34.885;62.748;-103.817
251214;-11.968;-10.278;0.5147;43.359;12.672;40.763
251259;-0.4449;0.7707;0.9349;18.397;10.992;-97.176
251304;-0.7091;0.1017;12.190;-54.656;18.168;-43.359
251349;-10.969;-0.6357;0.8602;-99.160;139.237;-29.237
251394;-0.9300;-0.7638;0.6550;51.832;-94.046;-13.817
251439;-0.8356;-0.4853;0.9931;27.023;-22.519;30.534
251484;-0.8241;-0.3626;0.9170;41.069;-40.076;-46.183
251529;-0.8195;-0.5818;0.8414;10.611;-117.405;16.031
251574;-0.5006;-0.7150;11.680;61.221;109.695;74.809
251619;-0.8549;0.2826;0.4923;-14.122;57.023;-42.061
251664;-11.007;-0.4129;0.9707;-41.908;98.244;0.2137
251709;-11.589;-0.4248;0.8241;-27.405;0.3969;72.519
251754;-0.4692;0.0000;0.9830;-84.122;84.656;51.374
251799;-0.7447;-0.1215;0.9750;-125.191;129.466;-33.053
251844;-0.7003;-0.2521;0.8703;-91.679;116.947;-175.802
251889;-0.6198;-0.1938;0.8061;-173.435;242.672;-184.122
251934;-0.7490;-0.6863;0.5527;-169.847;316.260;-211.603
251979;-0.6597;-0.6667;0.4601;-225.573;341.603;-154.275
252024;-0.7752;-0.9007;-0.1801;-159.466;358.397;-215.725
252069;-0.7255;-0.7800;-0.1606;-170.916;253.817;-173.053
252114;-0.6863;-0.8200;-0.2460;-244.427;315.114;-111.756
252159;-0.3697;-0.9831;-0.3037;-110.611;268.626;-195.802
252204;0.0451;-0.7713;-0.3905;-172.672;278.550;-136.031
252249;0.0395;-0.9199;-0.7282;-156.336;319.771;-138.626
252294;0.3001;-0.7735;-0.5679;-183.359;314.656;-80.382
252339;0.6398;-0.5438;-0.5831;-144.809;397.786;-71.221
252384;0.8572;-0.4631;-0.6196;-120.458;352.214;-117.252
252429;0.7845;-0.7013;-0.7717;-75.115;280.229;-67.634
252474;0.8892;-0.4323;-0.7738;-61.069;174.275;-42.748
252519;0.8507;-0.6100;-0.5115;-59.237;57.252;-22.214
252564;0.7874;-0.4805;-0.4732;-30.763;-0.7939;-0.0229
252609;0.8721;-0.4469;-0.1594;-23.664;-0.0763;-0.3893
252654;0.6995;-0.5099;-0.3150;-16.870;0.6489;-0.2137
252699;0.7614;-0.4001;-0.2444;-24.351;-17.939;26.412
252744;0.6849;-0.4388;-0.2186;-40.840;-29.542;30.840
252789;0.6839;-0.4440;-0.3185;-30.763;-40.840;34.962
252834;0.7220;-0.3070;-0.2819;-49.771;-87.099;38.626
252879;0.7711;-0.3060;-0.2940;-39.618;-90.000;15.191
252924;0.7280;-0.3526;-0.7377;-46.641;-116.489;-0.3282
252969;0.7719;-0.1990;-0.7276;-98.092;-199.542;16.565
253014;13.815;-0.7205;17.507;-20.076;-26.107;-0.5573
253059;0.7894;-0.1302;-0.7116;20.076;-30.611;47.710
253104;0.7503;-0.2627;-0.6720;-184.351;-265.954;24.427
253149;0.6984;-0.1357;-0.0791;-143.282;-247.023;48.321
253194;0.2425;-0.0945;-11.912;-107.786;-412.901;-12.137
253239;0.4808;0.0000;-0.4259;-151.756;-298.244;-108.702
253284;0.1498;-0.1282;-0.2603;-117.710;-387.328;-124.962
253329;0.1359;-0.1097;-0.1220;-49.466;-488.931;-170.382
253374;0.0408;-0.0589;0.1323;-47.328;-459.160;-202.595
253419;-0.0894;-0.3856;0.1491;-37.252;-495.191;-193.664
253464;-0.0250;-0.5086;0.3605;-79.695;-589.466;-145.725
253509;-0.0449;-0.6534;0.9117;-137.863;-555.496;-16.260
253554;-0.0851;-0.5999;0.8771;-311.985;-195.191;33.053
253599;-0.2280;-0.8045;0.9468;-230.916;-172.061;-99.695
253644;-0.1256;-0.8469;0.9985;-111.985;-295.802;-159.008
253689;0.2748;-11.142;16.042;-68.244;-350.000;-145.420
253734;0.4250;-13.247;20.675;53.740;-166.870;-139.237
253779;0.0862;-11.233;19.894;93.740;-45.191;-83.893
253824;-0.0389;-10.409;18.559;106.565;-13.435;-41.603
253869;0.0345;-0.8126;19.639;139.695;34.656;-92.137
253914;-0.0371;-0.7506;17.862;156.031;168.473;-116.031
253959;-0.1305;-0.6785;18.089;90.153;205.802;-79.237
254004;-0.2565;-0.6976;16.023;83.893;269.160;-52.214
254049;-0.1432;-0.5016;14.444;71.756;286.489;-38.397
254094;0.0000;-0.3486;15.206;81.756;408.626;-41.145
254139;-0.1777;-0.2757;0.8283;85.344;541.603;-127.176
254184;-0.5035;-0.5965;0.3462;71.985;504.351;-160.916
254229;-0.4177;-0.6524;0.1591;44.275;514.885;-139.771
254274;-0.5684;-0.6577;-0.1457;-31.221;569.618;-66.641
254319;-0.0201;-0.6374;0.0762;-86.565;680.687;-21.908
254364;0.3317;-0.2005;-0.3662;-97.252;780.305;-93.511
254409;0.3082;-0.1091;-0.3527;-80.840;311.527;-85.344
254454;0.3483;-0.8018;-0.4490;0.6947;306.489;-88.092
254499;0.3647;-0.6144;-0.5358;30.000;265.420;-38.397
254544;0.4448;-0.3783;-0.0435;-21.450;148.321;0.5115
254589;0.4459;-0.4766;0.1954;60.840;18.702;-50.305
254634;0.5444;-0.4606;-0.1369;58.473;168.473;-32.137
254679;0.9515;-0.4854;-0.4898;0.9695;220.153;18.321
254724;11.204;-0.4600;-0.3008;-42.366;203.511;23.817
254769;10.128;-0.5190;-0.1840;-0.5115;104.962;-10.076
254814;10.046;-0.5785;-0.1727;0.6336;12.519;-13.817
254859;10.478;-0.4999;-0.1099;-18.779;0.9466;-20.000
254904;0.9645;-0.4673;-0.0975;-33.740;0.5496;-0.5496
254949;0.9645;-0.5154;-0.1563;-17.710;-27.328;-0.5725
254994;0.9085;-0.5270;-0.2105;-0.5420;-35.878;-23.053
255039;10.963;-0.4307;-0.5585;-45.344;-48.168;-51.603
255084;0.9194;-0.4280;-0.2829;-88.244;-32.977;-97.023
255129;0.8963;-0.1021;-0.1846;-86.031;-41.298;-113.206
255174;0.6843;-0.0492;-0.0623;-45.420;-77.176;0.9160
255219;0.8846;0.0000;-0.2534;42.061;-130.916;42.824
255264;0.9177;-0.4088;-0.4608;35.725;-191.221;144.656
255309;0.6550;-0.5179;-0.8523;45.496;-232.061;22.672
255354;0.8254;-0.1023;-0.7765;-23.435;-359.389;-0.1145
255399;10.493;0.0870;-0.5327;-240.305;-552.443;-89.084
255444;0.4072;-0.1939;0.0000;-108.550;-401.374;-116.183
255489;0.1807;-0.1313;-0.3693;-130.229;-437.099;-133.359
255534;0.2850;-0.2298;-0.2699;-270.611;-578.473;-116.947
255579;0.1942;-0.4199;0.4131;-314.580;-492.595;-182.595
255624;-0.3117;-0.5925;0.4020;-148.473;-276.260;-236.412
255669;-0.1166;-0.4198;0.3757;-73.969;-324.885;-172.824
255714;0.3792;-0.4360;0.8032;-53.664;-348.015;-234.886
255759;0.0000;-0.8172;0.7703;-92.443;-215.114;-292.061
255804;-0.0380;-0.9983;0.8099;-85.038;-249.084;-266.794
255849;0.1770;-0.7821;10.309;-20.076;-225.267;-273.511
255894;0.4037;-0.9905;0.7572;-53.130;-263.893;-311.527
255939;0.5401;-12.371;12.607;-31.527;-210.000;-283.435
255984;0.5403;-12.037;12.697;48.321;-146.183;-244.198
256029;0.7391;-11.880;11.466;-40.458;-201.679;-129.771
256074;0.9108;-17.374;23.396;98.015;-89.389;-236.183
256119;10.833;-14.933;20.751;40.687;-119.847;-110.382
256164;0.8667;-15.127;20.573;-0.2977;-96.565;-107.863
256209;0.5456;-11.076;19.035;71.603;60.534;46.565
256254;0.4573;-0.8407;12.943;16.947;14.504;-13.282
256299;0.5291;-0.9859;19.283;-0.6336;-33.282;-56.412
256344;0.5740;-0.9917;16.645;100.382;107.557;-55.725
256389;0.6348;-10.085;22.016;151.374;174.504;-24.351
256434;0.7502;-0.7814;17.317;188.473;405.267;-15.420
256479;0.5304;-0.5542;17.051;15.878;403.435;20.305
256524;0.3008;-0.3353;16.729;110.229;383.969;-0.5420
256569;0.2003;-0.3232;16.254;166.565;476.794;-70.000
256614;-0.1390;-0.3351;0.6231;128.779;384.885;79.008
256659;-0.3726;0.0361;11.084;-22.443;359.008;-61.298
256704;-0.5319;-0.2377;0.4950;-16.183;517.710;-168.092
