timestamp;ax;ay;az;gx;gy;gz
175299;-0.2061;0.2482;0.4584;0.1221;26.336;0.2290
175344;-0.1802;0.2297;0.4372;-0.0382;32.137;0.0534
175389;-0.1980;0.2180;0.4488;0.0076;41.985;-0.2214
175434;-0.1926;0.2233;0.4271;-0.1450;34.275;-0.2214
175479;-0.2067;0.2217;0.4228;-0.2824;28.550;-0.3359
175524;-0.2057;0.2404;0.4389;-0.2672;25.649;-0.2061
175569;-0.2015;0.2352;0.4319;-0.0840;21.832;-0.3130
175614;-0.2143;0.1925;0.4275;0.2672;12.214;-0.2061
175659;-0.2005;0.1947;0.4407;0.3359;-0.8168;0.0534
175704;-0.1861;0.1827;0.4664;0.6718;-0.1908;0.2595
175749;-0.2077;0.1990;0.4534;0.9160;0.2443;0.7481
175794;-0.2047;0.2030;0.4419;0.6794;-0.6718;11.756
175839;-0.1788;0.2157;0.4535;0.1985;-0.1298;0.9542
175884;-0.1999;0.2170;0.4317;-0.1450;13.664;0.4275
175929;-0.2211;0.2099;0.4128;-0.1298;0.7710;0.2977
175974;-0.2059;0.2077;0.4209;-0.1450;-0.2595;0.3435
176019;-0.1995;0.1976;0.4231;-0.2366;0.3511;0.1069
176064;-0.2221;0.2175;0.4158;-0.3435;0.4580;-0.2061
176109;-0.1857;0.2230;0.4097;-0.5496;-0.4885;-0.6336
176154;-0.1854;0.2072;0.4256;-0.6794;-0.1985;-10.000
176199;-0.1982;0.2084;0.4245;-0.6718;0.1832;-10.000
176244;-0.1968;0.2039;0.4283;-0.5649;0.0229;-0.8550
176289;-0.2061;0.2073;0.4211;-0.4046;-0.2137;-0.6489
176334;-0.1902;0.2045;0.4371;-0.1527;-0.0305;-0.4198
176379;-0.1982;0.2047;0.4361;-0.0992;0.0458;-0.2519
176424;-0.1994;0.2278;0.4283;-0.1450;0.0305;0.0611
176469;-0.1815;0.2074;0.4324;-0.1374;0.0611;0.1756
176514;-0.2039;0.2051;0.4349;0.0916;0.4962;0.2214
176559;-0.2099;0.2117;0.4358;0.1069;0.1374;0.3359
176604;-0.2068;0.2041;0.4356;0.3588;0.1298;0.2901
176649;-0.2124;0.2128;0.4366;0.4504;0.3282;0.2824
176694;-0.2108;0.2050;0.4344;0.3740;-0.2443;0.2061
176739;-0.2017;0.2153;0.4455;0.3053;-0.3359;0.0534
176784;-0.2057;0.2107;0.4397;0.2290;-0.1145;-0.0458
176829;-0.2144;0.1928;0.4397;0.1985;-0.6183;0.0076
176874;-0.1885;0.2026;0.4531;-0.0458;-0.8550;-0.0076
176919;-0.2051;0.2097;0.4485;0.0000;-0.2824;-0.2290
176964;-0.1951;0.2054;0.4439;-0.0458;-10.229;-0.0611
177009;-0.1807;0.1958;0.4707;-0.2595;-0.9008;0.2137
177054;-0.1771;0.1997;0.4617;-0.4504;0.5725;0.2748
177099;-0.1926;0.1571;0.4568;-0.4198;13.053;-0.1679
177144;-0.2200;0.1739;0.4269;-0.0611;-0.3053;-0.1679
177189;-0.2091;0.2384;0.4227;-0.1298;-37.557;-0.3282
177234;-0.1722;0.2726;0.4541;-0.3664;-20.534;-0.4580
177279;-0.2043;0.2593;0.4317;-0.1374;-0.2214;-10.992
177324;-0.2205;0.2204;0.4310;-0.3359;-12.748;-0.8092
177369;-0.1932;0.1711;0.4718;-0.4046;-0.3130;-0.7786
177414;-0.2385;0.1643;0.4598;0.0458;11.145;-10.000
177459;-0.2826;0.2531;0.4148;0.2366;-31.527;-0.0916
